deskripsi,category,source
susu,makanan,df1
makan malam bersama teman,sosial,df1
tagihan air,tagihan,df1
kelas yoga,kesehatan dan perawatan diri,df1
bunga,sosial,df1
bunga,sosial,df1
perbaikan mobil,transportasi,df1
pelatih pribadi,kesehatan dan perawatan diri,df1
tiket pesawat,travel,df1
permainan anak-anak,sosial,df1
roti,makanan,df1
perbaikan mobil,transportasi,df1
pasta gigi,kesehatan dan perawatan diri,df1
perlengkapan rajutan,hiburan,df1
ruu gas,tagihan,df1
perhiasan,sosial,df1
mobil,belanja,df1
sepatu,belanja,df1
kunjungan dokter gigi,kesehatan dan perawatan diri,df1
ayam,makanan,df1
pakaian,belanja,df1
makanan ringan,makanan,df1
makanan cepat saji,makanan,df1
makanan restoran,makanan,df1
susu,makanan,df1
taksi/uber,transportasi,df1
kunjungan dokter,kesehatan dan perawatan diri,df1
angkutan umum,transportasi,df1
obat,kesehatan dan perawatan diri,df1
makanan cepat saji,makanan,df1
sepatu,belanja,df1
angkutan umum,transportasi,df1
sayuran,makanan,df1
permainan anak-anak,sosial,df1
perhiasan,sosial,df1
ruu gas,tagihan,df1
mobil,belanja,df1
kelas yoga,kesehatan dan perawatan diri,df1
bensin,transportasi,df1
susu,makanan,df1
kunjungan dokter,kesehatan dan perawatan diri,df1
bensin,transportasi,df1
permainan anak-anak,sosial,df1
tiket pesawat,travel,df1
layanan streaming,tagihan,df1
tagihan air,tagihan,df1
tiket pesawat,travel,df1
sampo,kesehatan dan perawatan diri,df1
perhiasan,sosial,df1
angkutan umum,transportasi,df1
makan malam bersama teman,sosial,df1
tagihan listrik,tagihan,df1
bensin,transportasi,df1
produk perawatan kulit,kesehatan dan perawatan diri,df1
kopi,makanan,df1
perlengkapan seni,hiburan,df1
perlengkapan seni,hiburan,df1
pakaian,belanja,df1
makanan restoran,makanan,df1
kunjungan dokter gigi,kesehatan dan perawatan diri,df1
permainan anak-anak,sosial,df1
perhiasan,sosial,df1
ruu gas,tagihan,df1
mobil,belanja,df1
pelatih pribadi,kesehatan dan perawatan diri,df1
sepatu,belanja,df1
sampo,kesehatan dan perawatan diri,df1
kopi,makanan,df1
produk perawatan kulit,kesehatan dan perawatan diri,df1
makan malam bersama teman,sosial,df1
layanan streaming,tagihan,df1
bunga,sosial,df1
pelatih pribadi,kesehatan dan perawatan diri,df1
pelatih pribadi,kesehatan dan perawatan diri,df1
kunjungan dokter gigi,kesehatan dan perawatan diri,df1
makanan restoran,makanan,df1
kopi,makanan,df1
makanan ringan,makanan,df1
layanan streaming,tagihan,df1
majalah,tagihan,df1
roti,makanan,df1
kunjungan dokter,kesehatan dan perawatan diri,df1
mobil,belanja,df1
makanan cepat saji,makanan,df1
tiket film,sosial,df1
perhiasan,sosial,df1
perbaikan mobil,transportasi,df1
kunjungan dokter gigi,kesehatan dan perawatan diri,df1
kopi,makanan,df1
makanan restoran,makanan,df1
pelatih pribadi,kesehatan dan perawatan diri,df1
pasta gigi,kesehatan dan perawatan diri,df1
tiket film,sosial,df1
perlengkapan rajutan,hiburan,df1
peralatan latihan,kesehatan dan perawatan diri,df1
obat,kesehatan dan perawatan diri,df1
makanan cepat saji,makanan,df1
layanan streaming,tagihan,df1
angkutan umum,transportasi,df1
daging,makanan,df1
mobil,belanja,df1
makanan restoran,makanan,df1
pakaian,belanja,df1
angkutan umum,transportasi,df1
tiket pesawat,travel,df1
menyewa,tagihan,df1
perbaikan mobil,transportasi,df1
tiket konser,sosial,df1
kartu hadiah,sosial,df1
sampo,kesehatan dan perawatan diri,df1
kopi,makanan,df1
peralatan latihan,kesehatan dan perawatan diri,df1
peralatan latihan,kesehatan dan perawatan diri,df1
ruu gas,tagihan,df1
peralatan latihan,kesehatan dan perawatan diri,df1
kartu hadiah,sosial,df1
kartu hadiah,sosial,df1
susu,makanan,df1
menginap di hotel,travel,df1
makan malam bersama teman,sosial,df1
kunjungan dokter gigi,kesehatan dan perawatan diri,df1
menginap di hotel,travel,df1
sepatu,belanja,df1
sabun,kesehatan dan perawatan diri,df1
buku,hiburan,df1
taksi/uber,transportasi,df1
elektronik,belanja,df1
kartu hadiah,sosial,df1
makan malam bersama teman,sosial,df1
bensin,transportasi,df1
bensin,transportasi,df1
pakaian,belanja,df1
permainan anak-anak,sosial,df1
sampo,kesehatan dan perawatan diri,df1
layanan streaming,tagihan,df1
menyewa,tagihan,df1
majalah,tagihan,df1
tiket film,sosial,df1
ruu gas,tagihan,df1
bunga,sosial,df1
sepatu,belanja,df1
tiket konser,sosial,df1
tiket pesawat,travel,df1
pasta gigi,kesehatan dan perawatan diri,df1
kartu hadiah,sosial,df1
buah-buahan,makanan,df1
tagihan listrik,tagihan,df1
elektronik,belanja,df1
bunga,sosial,df1
pakaian,belanja,df1
tiket film,sosial,df1
kunjungan dokter,kesehatan dan perawatan diri,df1
majalah,tagihan,df1
keanggotaan gimnasium,kesehatan dan perawatan diri,df1
sabun,kesehatan dan perawatan diri,df1
pasta gigi,kesehatan dan perawatan diri,df1
menyewa,tagihan,df1
ayam,makanan,df1
peralatan latihan,kesehatan dan perawatan diri,df1
sampo,kesehatan dan perawatan diri,df1
roti,makanan,df1
menginap di hotel,travel,df1
buku,hiburan,df1
keanggotaan gimnasium,kesehatan dan perawatan diri,df1
taksi/uber,transportasi,df1
video game,hiburan,df1
tagihan air,tagihan,df1
perbaikan mobil,transportasi,df1
tiket konser,sosial,df1
perlengkapan rajutan,hiburan,df1
makanan ringan,makanan,df1
majalah,tagihan,df1
roti,makanan,df1
menginap di hotel,travel,df1
tagihan listrik,tagihan,df1
makanan ringan,makanan,df1
perlengkapan seni,hiburan,df1
produk perawatan kulit,kesehatan dan perawatan diri,df1
taksi/uber,transportasi,df1
roti,makanan,df1
ayam,makanan,df1
susu,makanan,df1
daging,makanan,df1
sabun,kesehatan dan perawatan diri,df1
elektronik,belanja,df1
sayuran,makanan,df1
perlengkapan seni,hiburan,df1
ayam,makanan,df1
tagihan listrik,tagihan,df1
elektronik,belanja,df1
perlengkapan rajutan,hiburan,df1
video game,hiburan,df1
keanggotaan gimnasium,kesehatan dan perawatan diri,df1
video game,hiburan,df1
perlengkapan seni,hiburan,df1
kelas yoga,kesehatan dan perawatan diri,df1
kunjungan dokter,kesehatan dan perawatan diri,df1
sayuran,makanan,df1
keanggotaan gimnasium,kesehatan dan perawatan diri,df1
buku,hiburan,df1
menginap di hotel,travel,df1
produk perawatan kulit,kesehatan dan perawatan diri,df1
tagihan air,tagihan,df1
obat,kesehatan dan perawatan diri,df1
tagihan air,tagihan,df1
obat,kesehatan dan perawatan diri,df1
menyewa,tagihan,df1
elektronik,belanja,df1
buah-buahan,makanan,df1
kelas yoga,kesehatan dan perawatan diri,df1
pasta gigi,kesehatan dan perawatan diri,df1
tagihan listrik,tagihan,df1
kelas yoga,kesehatan dan perawatan diri,df1
video game,hiburan,df1
buku,hiburan,df1
video game,hiburan,df1
obat,kesehatan dan perawatan diri,df1
sabun,kesehatan dan perawatan diri,df1
buku,hiburan,df1
tiket konser,sosial,df1
majalah,tagihan,df1
menyewa,tagihan,df1
makanan cepat saji,makanan,df1
perlengkapan rajutan,hiburan,df1
sabun,kesehatan dan perawatan diri,df1
ayam,makanan,df1
taksi/uber,transportasi,df1
keanggotaan gimnasium,kesehatan dan perawatan diri,df1
produk perawatan kulit,kesehatan dan perawatan diri,df1
daging,makanan,df1
tiket film,sosial,df1
sayuran,makanan,df1
sayuran,makanan,df1
makanan ringan,makanan,df1
tiket konser,sosial,df1
buah-buahan,makanan,df1
buah-buahan,makanan,df1
buah-buahan,makanan,df1
daging,makanan,df1
daging,makanan,df1
parkir,tagihan,df2
iuran bulanan,tagihan,df2
lain-lain,lainnya,df2
streaming,hiburan,df2
warung nasi,makanan,df2
internet,tagihan,df2
gofood,makanan,df2
tissue,belanja,df2
alfamart,belanja,df2
bioskop,hiburan,df2
iuran bulanan,tagihan,df2
streaming,hiburan,df2
makan siang,makanan,df2
tissue,belanja,df2
belanja mingguan,belanja,df2
lain-lain,lainnya,df2
parkir,tagihan,df2
streaming,hiburan,df2
cemilan,makanan,df2
belanja mingguan,belanja,df2
biaya admin,tagihan,df2
internet,tagihan,df2
jajan sore,makanan,df2
top up game,hiburan,df2
biaya admin,tagihan,df2
lain-lain,lainnya,df2
cemilan,makanan,df2
gofood,makanan,df2
biaya admin,tagihan,df2
air,tagihan,df2
bpjs,tagihan,df2
tissue,belanja,df2
streaming,hiburan,df2
jajan sore,makanan,df2
lain-lain,lainnya,df2
belanja mingguan,belanja,df2
pulsa,tagihan,df2
lain-lain,lainnya,df2
kopi pagi,makanan,df2
pulsa,tagihan,df2
biaya admin,tagihan,df2
main ke mall,hiburan,df2
top up game,hiburan,df2
indomaret,belanja,df2
makan malam,makanan,df2
main ke mall,hiburan,df2
bioskop,hiburan,df2
kopi pagi,makanan,df2
top up game,hiburan,df2
alfamart,belanja,df2
makan siang,makanan,df2
biaya admin,tagihan,df2
listrik,tagihan,df2
makan siang,makanan,df2
kebutuhan pokok,belanja,df2
makan siang,makanan,df2
bioskop,hiburan,df2
cemilan,makanan,df2
parkir,tagihan,df2
makan malam,makanan,df2
cemilan,makanan,df2
kopi pagi,makanan,df2
jajan sore,makanan,df2
iuran bulanan,tagihan,df2
main ke mall,hiburan,df2
