deskripsi,category,tanggal,nominal
memesan perjalanan snorkeling dengan pemandu,travel,2026-02-21 09:09:37.369057,367000
bergabung dengan kelompok peningkatan kesehatan dan kebugaran,kesehatan dan perawatan diri,2026-02-21 09:09:37.369057,321000
pertemuan pasar petani dengan teman-teman,sosial,2026-02-21 09:09:37.369057,96000
membentuk tembikar di sanggar seni,pendidikan,2026-02-21 09:09:37.369057,380000
beli anting permata,belanja,2026-02-21 09:09:37.369057,393000
menjelajahi produk kecantikan bersih dari ilia,kesehatan dan perawatan diri,2026-02-21 09:09:37.369057,28000
tiket kereta api ke boston,transportasi,2026-02-22 09:09:37.369057,163000
tiket masuk tahunan ke six flags,hiburan,2026-02-22 09:09:37.369057,200000
kerajinan mencicipi sari buah apel di cidery,makanan,2026-02-22 09:09:37.369057,45000
menghadiri konser jazz,hiburan,2026-02-22 09:09:37.369057,174000
legging olahraga dari fabletics,belanja,2026-02-23 09:09:37.369057,445000
berlangganan disney+,hiburan,2026-02-24 09:09:37.369057,226000
tagihan tv kabel,tagihan,2026-02-24 09:09:37.369057,536000
jam tangan antik dari toko perhiasan lokal,belanja,2026-02-25 09:09:37.369057,195000
seminar motivasi,pendidikan,2026-02-26 09:09:37.369057,187000
tiket masuk mingguan untuk transportasi umum,transportasi,2026-02-26 09:09:37.369057,454000
perlengkapan makan gourmet dari gobble,makanan,2026-02-27 09:09:37.369057,35000
tur galeri seni bersama teman-teman,sosial,2026-02-27 09:09:37.369057,285000
penyewaan sepeda harian untuk jalan-jalan,transportasi,2026-02-27 09:09:37.369057,274000
berinvestasi pada fondasi berkualitas tinggi dari mac,kesehatan dan perawatan diri,2026-02-27 09:09:37.369057,245000
acara musik live dengan grup,sosial,2026-02-28 09:09:37.369057,52000
kemeja kasual dari banana republic,belanja,2026-02-28 09:09:37.369057,173000
penyewaan sepeda harian untuk wisatawan,transportasi,2026-02-28 09:09:37.369057,451000
konferensi tentang kewirausahaan,pendidikan,2026-02-28 09:09:37.369057,411000
layanan antar-jemput bandara untuk tamu hotel,transportasi,2026-02-28 09:09:37.369057,14000
tunjangan untuk mendukung inisiatif masyarakat,belanja,2026-03-01 09:09:37.369057,78000
makan siang seadanya bersama teman-teman,sosial,2026-03-01 09:09:37.369057,210000
acara amal di pusat komunitas,sosial,2026-03-01 09:09:37.369057,183000
sepatu olahraga anak dari new balance,belanja,2026-03-02 09:09:37.369057,206000
membeli perangkat gps yang dapat dipakai,belanja,2026-03-02 09:09:37.369057,320000
sayuran,makanan,2026-03-02 09:09:37.369057,37000
tunjangan pembelian peralatan hobi,belanja,2026-03-03 09:09:37.369057,186000
makanan penutup dari pabrik kue keju,makanan,2026-03-04 09:09:37.369057,33000
tiket konser di red rocks amphitheater,hiburan,2026-03-04 09:09:37.369057,91000
tunjangan untuk keanggotaan gym,kesehatan dan perawatan diri,2026-03-04 09:09:37.369057,154000
menyelesaikan kursus kesehatan dan gizi,pendidikan,2026-03-04 09:09:37.369057,261000
bayar tol jagorawi jakarta,transportasi,2026-03-04 09:09:37.369057,214000
berinvestasi dalam pelurus rambut dari ghd,kesehatan dan perawatan diri,2026-03-04 09:09:37.369057,81000
jaket bulu patagonia,belanja,2026-03-05 09:09:37.369057,89000
menu pencicipan spesial koki di hotel butik,makanan,2026-03-05 09:09:37.369057,45000
tamasya akhir pekan,sosial,2026-03-05 09:09:37.369057,87000
beli sr020 sukuk retail,lainnya,2026-03-05 09:09:37.369057,456000
bergabung dengan kelompok kesehatan holistik,kesehatan dan perawatan diri,2026-03-06 09:09:37.369057,242000
bergabung dengan kelompok belajar biologi,pendidikan,2026-03-06 09:09:37.369057,248000
menyewa,tagihan,2026-03-07 09:09:37.369057,107000
berpartisipasi dalam kegiatan amal untuk mendukung suatu tujuan,sosial,2026-03-07 09:09:37.369057,192000
biaya sekolah,pendidikan,2026-03-08 09:09:37.369057,464000
tarif taksi ke teater,transportasi,2026-03-08 09:09:37.369057,56000
membeli sepasang sepatu lari baru,belanja,2026-03-08 09:09:37.369057,295000
pendakian berpemandu bersama teman-teman,sosial,2026-03-08 09:09:37.369057,226000
pemesanan sesi terapi pijat,kesehatan dan perawatan diri,2026-03-08 09:09:37.369057,155000
ramen otentik dari restoran jepang,makanan,2026-03-08 09:09:37.369057,41000
belanjaan mingguan dari sprouts,makanan,2026-03-08 09:09:37.369057,37000
keanggotaan tahunan untuk program bike sharing,transportasi,2026-03-09 09:09:37.369057,426000
keanggotaan tahunan amazon prime,hiburan,2026-03-09 09:09:37.369057,262000
tiket kebun binatang mini,hiburan,2026-03-09 09:09:37.369057,79000
tiket konser musik,sosial,2026-03-09 09:09:37.369057,202000
tunjangan mingguan untuk terlibat dalam acara sosial,sosial,2026-03-10 09:09:37.369057,216000
tarif kereta harian ke universitas,transportasi,2026-03-10 09:09:37.369057,150000
makan siang mewah di kafe pedesaan,makanan,2026-03-11 09:09:37.369057,21000
pembicaraan motivasi oleh mel robbins,pendidikan,2026-03-11 09:09:37.369057,364000
pesanan dibawa pulang,makanan,2026-03-11 09:09:37.369057,34000
membeli krim tangan yang kaya rasa dari l'occitane,kesehatan dan perawatan diri,2026-03-11 09:09:37.369057,282000
pancuran hemat air dari high sierra,tagihan,2026-03-11 09:09:37.369057,198000
produk segar dari pasar petani,makanan,2026-03-11 09:09:37.369057,23000
pemesanan pijat kaki yang menenangkan,kesehatan dan perawatan diri,2026-03-11 09:09:37.369057,360000
pendaftaran les gitar,pendidikan,2026-03-12 09:09:37.369057,83000
tunjangan mingguan untuk terlibat dalam pengembangan pribadi,pendidikan,2026-03-12 09:09:37.369057,378000
kalung baru,belanja,2026-03-12 09:09:37.369057,388000
membeli sepasang alat ski baru untuk olahraga musim dingin,kesehatan dan perawatan diri,2026-03-12 09:09:37.369057,29000
biaya aktivitas,pendidikan,2026-03-13 09:09:37.369057,121000
anggaran bulanan untuk pengalaman budaya,tagihan,2026-03-13 09:09:37.369057,687000
membeli masker wajah mewah dari la mer,kesehatan dan perawatan diri,2026-03-13 09:09:37.369057,431000
kopi artisan dari kedai kopi,makanan,2026-03-14 09:09:37.369057,23000
bayar iuran komunitas hobi,hiburan,2026-03-14 09:09:37.369057,233000
kado lebaran untuk mertua,sosial,2026-03-14 09:09:37.369057,297000
tiket pesawat ke shanghai,travel,2026-03-15 09:09:37.369057,242000
pelatih pribadi,kesehatan dan perawatan diri,2026-03-15 09:09:37.369057,470000
lokakarya pertumbuhan karir,pendidikan,2026-03-15 09:09:37.369057,414000
tunjangan untuk menonton film malam,hiburan,2026-03-15 09:09:37.369057,112000
menguji pengelupasan wajah baru dari the ordinary,kesehatan dan perawatan diri,2026-03-15 09:09:37.369057,44000
layanan mobil vip untuk perjalanan eksekutif,transportasi,2026-03-16 09:09:37.369057,326000
makan siang seadanya bersama keluarga,sosial,2026-03-16 09:09:37.369057,231000
elektronik,belanja,2026-03-16 09:09:37.369057,160000
tiket pertunjukan siang teater,hiburan,2026-03-16 09:09:37.369057,158000
festival luar ruangan bersama keluarga,sosial,2026-03-16 09:09:37.369057,228000
biaya renang reguler,kesehatan dan perawatan diri,2026-03-16 09:09:37.369057,92000
keluar malam,sosial,2026-03-16 09:09:37.369057,262000
perawatan mobil,transportasi,2026-03-16 09:09:37.369057,238000
biaya pendaftaran ujian cfa,pendidikan,2026-03-16 09:09:37.369057,494000
membeli koleksi buku motivasi kesehatan,kesehatan dan perawatan diri,2026-03-17 09:09:37.369057,312000
mengirim koleksi sabun buatan tangan,sosial,2026-03-17 09:09:37.369057,291000
kursus pastry baking,pendidikan,2026-03-17 09:09:37.369057,195000
tas tangan mewah dari michael kors,belanja,2026-03-17 09:09:37.369057,450000
memesan tur mercusuar berpemandu,travel,2026-03-18 09:09:37.369057,182000
tiket pertunjukan komedi lokal,hiburan,2026-03-18 09:09:37.369057,74000
tiket konser luar ruangan,hiburan,2026-03-18 09:09:37.369057,388000
sewa lensa kamera,hiburan,2026-03-19 09:09:37.369057,174000
